level,code,name,parent_code
0,TOTAL,Total,
1,01,Agricultural and hunting products and services,TOTAL
1,02,"Products of forestry, logging and related services",TOTAL
1,05,Fish and other fishing products; services incidental to fishing,TOTAL
1,10,Coal and brown coal; peat,TOTAL
1,11,"Oil and natural gas; services incidental to oil and gas extraction, excluding surveying",TOTAL
1,12,Uranium and thorium ores,TOTAL
1,13,Metal ores,TOTAL
1,14,Other mining and quarrying products,TOTAL
1,15,Food products and beverages,TOTAL
1,16,Tobacco products,TOTAL
1,17,Textiles,TOTAL
1,18,Wearing apparel; furs,TOTAL
1,19,Leather and leather products,TOTAL
1,20,"Wood and products of wood and cork, articles of straw and plaiting materials",TOTAL
1,21,"Cellulose, paper, and paperboard",TOTAL
1,22,Printed products and media recorded,TOTAL
1,23,Coke oven products and petroleum products,TOTAL
1,24,"Basic chemicals, chemical products and fibers",TOTAL
1,25,Rubber and plastic products,TOTAL
1,26,Other mineral nonmetallic products,TOTAL
1,27,Metals,TOTAL
1,28,"Fabricated metal products, except machinery and equipment",TOTAL
1,29,Machinery and equipment n.e.c.,TOTAL
1,30,Office machinery and computers,TOTAL
1,31,Electrical machinery and apparatus n.e.c.,TOTAL
1,32,"Radio, television and communication equipment and apparatus",TOTAL
1,33,"Medical equipment; Instruments and appliances for measuring, checking, testing, navigating and other purposes; optical instruments and photographic equipment; watches and clocks",TOTAL
1,34,"Motor vehicles, trailers and semi-trailers",TOTAL
1,35,Other transport equipment,TOTAL
1,36,Furniture; other manufactured goods n.e.c.,TOTAL
1,37,Secondary raw materials,TOTAL
1,40,"Electricity, gas, steam and hot water",TOTAL
1,41,Collected and purified water; distribution services of water,TOTAL
1,45,Construction work,TOTAL
1,50,"Trade, maintenance and repair services of motor vehicles and motorcycles",TOTAL
1,51,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles",TOTAL
1,52,"Retail trade services, except of motor vehicles and motorcycles; repair services of personal and household goods; retail trade services of motor fuel",TOTAL
1,55,Hotel and restaurant services,TOTAL
1,60,Land and pipeline transportation services,TOTAL
1,61,Water transport services,TOTAL
1,62,Air transport services,TOTAL
1,63,Supporting and auxiliary transport services; travel agency services,TOTAL
1,64,Post and telecommunication services,TOTAL
1,65,"Financial intermediation services, except insurance and pension funding services",TOTAL
1,66,"Insurance and pension funding services, except compulsory social security services",TOTAL
1,67,Services auxiliary to financial intermediation,TOTAL
1,70,Real estate services,TOTAL
1,71,Renting services of machinery and equipment without operator and of personal and household goods,TOTAL
1,72,Computer and related services,TOTAL
1,73,Research and development services,TOTAL
1,74,Other business services,TOTAL
1,75,Public administration and defense services; compulsory social security services,TOTAL
1,80,Education services,TOTAL
1,85,Health and social work services,TOTAL
1,90,"Sewage and refuse disposal services, sanitation and similar services",TOTAL
1,91,Membership organization services n.e.c.,TOTAL
1,92,"Recreational, cultural and sporting services",TOTAL
1,93,Other personal services,TOTAL
1,95,Services of households as employers,TOTAL
1,96,Undifferentiated goods producing activities of private households for own use,96
1,97,Undifferentiated services producing activities of private households for own use,97
1,99,Extra-territorial organizations and bodies,99
2,01.11,Growing of cereals and other crops n.e.c.,01
2,01.12,"Growing of vegetables, horticultural specialities and nursery products",01
2,01.13,"Growing of fruit, nuts, beverage and spice crops",01
2,01.21,"Farming of cattle, dairy farming",01
2,01.22,"Farming of sheep, goats, horses, asses, mules and hinnies",01
2,01.23,Farming of swine,01
2,01.24,Farming of poultry,01
2,01.25,Other farming of animals,01
2,01.30,Growing of crops combined with farming of animals (mixed farming),01
2,01.41,Agricultural service activities; landscape gardening,01
2,01.42,"Animal husbandry service activities, except veterinary activities",01
2,01.50,"Hunting, trapping and game propagation, including related service activities",01
2,02.01,Forestry and logging,02
2,02.02,Forestry and logging related service activities,02
2,05.01,Fishing,05
2,05.02,Fish farming,05
2,10.10,Mining and agglomeration of hard coal,10
2,10.20,Mining and agglomeration of lignite,10
2,10.30,Extraction and agglomeration of peat,10
2,11.10,Extraction of crude petroleum and natural gas,11
2,11.20,"Service activities incidental to oil and gas extraction, excluding surveying",11
2,12.00,Mining of uranium and thorium ores,12
2,13.10,Mining of iron ores,13
2,13.20,"Mining of non-ferrous metal ores, except uranium and thorium ores",13
2,14.11,Quarrying of  ornamental and building stone,14
2,14.12,"Quarrying of limestone, gypsum and chalk",14
2,14.13,Quarrying of slate,14
2,14.21,Operation of gravel and sand pits,14
2,14.22,Mining of clays and kaolin,14
2,14.30,Mining of chemical and fertilizer minerals,14
2,14.40,Production of salt,14
2,14.50,Other mining and quarrying n.e.c.,14
2,15.11,Production and preserving of meat,15
2,15.12,Production and preserving of poultrymeat,15
2,15.13,Production of meat and poultrymeat products,15
2,15.20,Processing and preserving of fish and fish products,15
2,15.31,Processing and preserving of potatoes,15
2,15.32,Manufacture of fruit and vegetable juice,15
2,15.33,Processing and preserving of fruit and vegetables n.e.c.,15
2,15.41,Manufacture of crude oils and fats,15
2,15.42,Manufacture of refined oils and fats,15
2,15.43,Manufacture of margarine and similar edible fats,15
2,15.51,Operation of dairies and cheese making,15
2,15.52,Manufacture of ice cream,15
2,15.61,Manufacture of grain mill products,15
2,15.62,Manufacture of starches and starch products,15
2,15.71,Manufacture of prepared feeds for farm animals,15
2,15.72,Manufacture of prepared pet foods,15
2,15.81,Manufacture of bread; manufacture of fresh pastry goods and cakes,15
2,15.82,Manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes,15
2,15.83,Manufacture of sugar,15
2,15.84,Manufacture of cocoa; chocolate and sugar confectionery,15
2,15.85,"Manufacture of macaroni, noodles, couscous and similar farinaceous products",15
2,15.86,Processing of tea and coffee,15
2,15.87,Manufacture of condiments and seasonings,15
2,15.88,Manufacture of homogenised food preparations and dietetic food,15
2,15.89,Manufacture of other food products n.e.c.,15
2,15.91,Manufacture of distilled potable alcoholic beverages,15
2,15.92,Production of ethyl alcohol from fermented materials,15
2,15.93,Manufacture of wines,15
2,15.94,Manufacture of cider and other fruit wines,15
2,15.95,Manufacture of other non-distilled fermented beverages,15
2,15.96,Manufacture of beer,15
2,15.97,Manufacture of malt,15
2,15.98,Production of mineral waters and soft drinks,15
2,16.00,Manufacture of tobacco products,16
2,17.11,Preparation and spinning of cotton-type fibres,17
2,17.12,Preparation and spinning of woollen-type fibres,17
2,17.13,Preparation and spinning of worsted-type fibres,17
2,17.14,Preparation and spinning of flax-type fibres,17
2,17.15,"Throwing and preparation of silk, including from noils, and throwing and texturing of synthetic or artificial filament yarns",17
2,17.16,Manufacture of sewing threads,17
2,17.17,Preparation and spinning of other textile fibres,17
2,17.21,Cotton-type weaving,17
2,17.22,Woollen-type weaving,17
2,17.23,Worsted-type weaving,17
2,17.24,Silk-type weaving,17
2,17.25,Other textile weaving,17
2,17.30,Finishing of textiles,17
2,17.40,"Manufacture of made-up textile articles, except apparel",17
2,17.51,Manufacture of carpets and rugs,17
2,17.52,"Manufacture of cordage, rope, twine and netting",17
2,17.53,"Manufacture of non-wovens and articles made from non-wovens, except apparel",17
2,17.54,Manufacture of other textiles n.e.c.,17
2,17.60,Manufacture of knitted and crocheted fabrics,17
2,17.71,Manufacture of knitted and crocheted hosiery,17
2,17.72,"Manufacture of knitted and crocheted pullovers, cardigans and similar articles",17
2,18.10,Manufacture of leather clothes,18
2,18.21,Manufacture of workwear,18
2,18.22,Manufacture of other outerwear,18
2,18.23,Manufacture of underwear,18
2,18.24,Manufacture of other wearing apparel and accessories n.e.c.,18
2,18.30,Dressing and dyeing of fur; manufacture of articles of fur,18
2,19.10,Tanning and dressing of leather,19
2,19.20,"Manufacture of luggage, handbags and the like, saddlery and harness",19
2,19.30,Manufacture of footwear,19
2,20.10,Sawmilling and planing of wood; impregnation of wood,20
2,20.20,"Manufacture of veneer sheets; manufacture of plywood, laminboard, particle board, fibre board and other panels and boards",20
2,20.30,Manufacture of builders' carpentry and joinery,20
2,20.40,Manufacture of wooden containers,20
2,20.51,Manufacture of other products of wood,20
2,20.52,"Manufacture of articles of cork, straw and plaiting materials",20
2,21.11,Manufacture of pulp,21
2,21.12,Manufacture of paper and paperboard,21
2,21.21,Manufacture of corrugated paper and paperboard and of containers of paper and paperboard,21
2,21.22,Manufacture of household and sanitary goods and of toilet requisites,21
2,21.23,Manufacture of paper stationery,21
2,21.24,Manufacture of wallpaper,21
2,21.25,Manufacture of other articles of paper and paperboard n.e.c.,21
2,22.11,Publishing of books,22
2,22.12,Publishing of newspapers,22
2,22.13,Publishing of journals and periodicals,22
2,22.14,Publishing of sound recordings,22
2,22.15,Other publishing,22
2,22.21,Printing of newspapers,22
2,22.22,Printing n.e.c.,22
2,22.23,Bookbinding,22
2,22.24,Pre-press activities,22
2,22.25,Ancillary activities related to printing,22
2,22.31,Reproduction of sound recording,22
2,22.32,Reproduction of video recording,22
2,22.33,Reproduction of computer media,22
2,23.10,Manufacture of coke oven products,23
2,23.20,Manufacture of refined petroleum products,23
2,23.30,Processing of nuclear fuel,23
2,24.11,Manufacture of industrial gases,24
2,24.12,Manufacture of dyes and pigments,24
2,24.13,Manufacture of other inorganic basic chemicals,24
2,24.14,Manufacture of other organic basic chemicals,24
2,24.15,Manufacture of fertilizers and nitrogen compounds,24
2,24.16,Manufacture of plastics in primary forms,24
2,24.17,Manufacture of synthetic rubber in primary forms,24
2,24.20,Manufacture of pesticides and other agro-chemical products,24
2,24.30,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics",24
2,24.41,Manufacture of basic pharmaceutical products,24
2,24.42,Manufacture of pharmaceutical preparations,24
2,24.51,"Manufacture of soap and detergents, cleaning and polishing preparations",24
2,24.52,Manufacture of perfumes and toilet preparations,24
2,24.61,Manufacture of explosives,24
2,24.62,Manufacture of glues and gelatines,24
2,24.63,Manufacture of essential oils,24
2,24.64,Manufacture of photographic chemical material,24
2,24.65,Manufacture of prepared unrecorded media,24
2,24.66,Manufacture of other chemical products n.e.c.,24
2,24.70,Manufacture of man-made fibres,24
2,25.11,Manufacture of rubber tyres and tubes,25
2,25.12,Retreading and rebuilding of rubber tyres,25
2,25.13,Manufacture of other rubber products,25
2,25.21,"Manufacture of plastic plates, sheets, tubes and profiles",25
2,25.22,Manufacture of plastic packing goods,25
2,25.23,Manufacture of builders' ware of plastic,25
2,25.24,Manufacture of other plastic products,25
