name,schema_name,location,created_by,url,comment
tree_bonsai_v2_0,Location,tree_bonsai_v2_0.csv,https://gitlab.com/mabudz,"https://gitlab.com/bonsamurais/bonsai/util/classifications/-/raw/main/src/classifications/data/location/tree_bonsai_v2_0.csv?inline=false","Bonsai-workflow classification for location"
tree_eurostat,Location,tree_eurostat.csv,"Albert Osai-Owusu, https://gitlab.com/mabudz","https://gitlab.com/bonsamurais/bonsai/util/classifications/-/raw/main/src/classifications/data/location/tree_eurostat.csv?inline=false","Subtable of Eurostat country coverage, source: https://ec.europa.eu/eurostat/web/metadata"
tree_iso_3166_1_alpha2,Location,tree_iso_3166_1_alpha2.csv,https://gitlab.com/mabudz,"https://gitlab.com/bonsamurais/bonsai/util/classifications/-/raw/main/src/classifications/data/location/tree_iso_3166_1_alpha2.csv?inline=false","ISO 3166-1 alpha-2 codes, source: https://unece.org/trade/cefact/UNLOCODE-Download"
tree_iso_3166_2,Location,tree_iso_3166_2.csv,https://gitlab.com/mabudz,"https://gitlab.com/bonsamurais/bonsai/util/classifications/-/raw/main/src/classifications/data/location/tree_iso_3166_2.csv?inline=false","ISO 3166-2 subdivision codes, source: https://unece.org/trade/cefact/UNLOCODE-Download"
dim_level,Level,dim_level.csv,https://gitlab.com/mabudz,"https://gitlab.com/bonsamurais/bonsai/util/classifications/-/raw/main/src/classifications/data/location/dim_level.csv?inline=false","levels of the classification codes"
conc_iso_3166_1_alpha2_iso_3166_2,LocationCorrespondence,conc_iso_3166_1_alpha2_iso_3166_2.csv,https://gitlab.com/mabudz,"https://gitlab.com/bonsamurais/bonsai/util/classifications/-/raw/main/src/classifications/data/location/conc_iso_3166_1_alpha2_iso_3166_2.csv?inline=false","Concordance between ISO 3166-1 and ISO 3166-2"
conc_bonsai_v2_0_iso_3166_1_numeric,LocationCorrespondence,conc_bonsai_v2_0_iso_3166_1_numeric.csv,https://gitlab.com/mabudz,"https://gitlab.com/bonsamurais/bonsai/util/classifications/-/raw/main/src/classifications/data/location/conc_bonsai_v2_0_iso_3166_1_numeric.csv?inline=false","Concordance between BONSAI-workflow and ISO 3166-1 numeric"
tree_iso_3166_1_numeric,Location,tree_iso_3166_1_numeric.csv,https://gitlab.com/mabudz,"https://gitlab.com/bonsamurais/bonsai/util/classifications/-/raw/main/src/classifications/data/location/tree_iso_3166_1_numeric.csv?inline=false","ISO 3166-1 numeric codes, source: https://unece.org/trade/cefact/UNLOCODE-Download"
dim_faostat,Location,dim_faostat.csv,https://gitlab.com/mabudz,"https://gitlab.com/bonsamurais/bonsai/util/classifications/-/raw/main/src/classifications/data/location/dim_faostat.csv?inline=false","FAOSTAT codes, source: https://www.fao.org/faostat/en/#definitions"
dim_undata,Location,dim_undata.csv,https://gitlab.com/mabudz,"https://gitlab.com/bonsamurais/bonsai/util/classifications/-/raw/main/src/classifications/data/location/dim_undata.csv?inline=false","UNDATA codes (M49 Standard), source: https://unstats.un.org/unsd/methodology/m49/"
