code,name,parent_code,level
c1,"Agriculture, hunting, forestry, and fishing",TOTAL,1
c2,Mining and quarrying,TOTAL,1
c3,"Food, beverages, and tobacco",TOTAL,1
c4,Textiles and textile products,TOTAL,1
c5,"Leather, leather products, and footwear",TOTAL,1
c6,Wood and products of wood and cork,TOTAL,1
c7,"Pulp, paper, paper products, printing, and publishing",TOTAL,1
c8,"Coke, refined petroleum, and nuclear fuel",TOTAL,1
c9,Chemicals and chemical products,TOTAL,1
c10,Rubber and plastics,TOTAL,1
c11,Other nonmetallic minerals,TOTAL,1
c12,Basic metals and fabricated metal,TOTAL,1
c13,"Machinery, nec",TOTAL,1
c14,Electrical and optical equipment,TOTAL,1
c15,Transport equipment,TOTAL,1
c16,"Manufacturing, nec; recycling",TOTAL,1
c17,"Electricity, gas, and water supply",TOTAL,1
c18,Construction,TOTAL,1
c19,"Sale, maintenance, and repair of motor vehicles and motorcycles; retail sale of fuel",TOTAL,1
c20,"Wholesale trade and commission trade, except of motor vehicles and motorcycles",TOTAL,1
c21,"Retail trade, except of motor vehicles and motorcycles; repair of household goods",TOTAL,1
c22,Hotels and restaurants,TOTAL,1
c23,Inland transport,TOTAL,1
c24,Water transport,TOTAL,1
c25,Air transport,TOTAL,1
c26,Other supporting and auxiliary transport activities; activities of travel agencies,TOTAL,1
c27,Post and telecommunications,TOTAL,1
c28,Financial intermediation,TOTAL,1
c29,Real estate activities,TOTAL,1
c30,Renting of M&Eq and other business activities,TOTAL,1
c31,Public administration and defense; compulsory social security,TOTAL,1
c32,Education,TOTAL,1
c33,Health and social work,TOTAL,1
c34,"Other community, social, and personal services",TOTAL,1
c35,Private households with employed persons,TOTAL,1
F1,Final consumption expenditure by households,TOTAL,1
F2,Final consumption expenditure by non-profit organisations serving households (NPISH),TOTAL,1
F3,Final consumption expenditure by government,TOTAL,1
F4,Gross fixed capital formation,TOTAL,1
F5,Changes in inventories and valuables,TOTAL,1
F6,Exports,TOTAL,1
TOTAL,TOTAL,,0
